Name,Image,Team,Batting_Style,Bowling_Style,Playing_Role
Mayank Yadav,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTvh9-hl0HrGwmt1-S7svCtDby_6Kg5gcJGp6Dz0CWnN_VOnkGfMeuEX-Yv-A&s,Lucknow Super Giants ,Right hand Bat,Right arm Medium fast,Bowler
Rohit Sharma,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSkXsxO3aLUWE6ucxmm1_qlaALsRXQWpJjNT7o9w2z_m6r0F7FrK0pYP-WvC_M&s,Mumbai Indians ,Right hand Bat,Right arm Offbreak,Top order Batter
Arshad Khan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQ51FUW3gar3w3K6FZGfPFErYrTHmB-cb4k4b3jrppMqw1NAqki-LMhmByjw&s,Mumbai Indians ,Left hand Bat,Left arm Medium,Bowler
Jason Behrendorff,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS2Amsjgk0nYYF_pJYs4TL1wtg_SuX-FB8WTofA8uhoisw1wNUwYeckZi6dSg&s,Mumbai Indians ,Right hand Bat,Left arm Fast medium,Bowler
Dewald Brevis,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQaZ16oY1s-zKJjbB1bfoG3z3i4Q79Ik4NURc0IzHPSmFVLQXBqDiwLcNBTg&s,Mumbai Indians ,Right hand Bat,Legbreak,Batting Allrounder
Piyush Chawla,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQRThWSu5DX6w_aSyEUvPiXRWXNmtZZg2gg1Czq6i9TuFe436GoNx6bz4lmQ&s,Mumbai Indians ,Left hand Bat,Legbreak,Bowling Allrounder
Tim David,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSA4EYQ9Bqe9SXe1CRY-nHnl7vmVEy6FRkexSQeJTZrBFS-jNagCZsTGc6RF5g&s,Mumbai Indians ,Right hand Bat,Right arm Offbreak,Middle order Batter
Raghav Goyal,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSRGFn_qk-be5txFP5EOMowB7zUhuyaMUG_JrX3liqZMffRSjmcDK-02hpHKtU&s,Mumbai Indians ,Left hand Bat,Left arm Wrist spin,Bowler
Cameron Green,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTsb9m-H4SSX-jTsW-8ju2qI29A6Scsi6Htx5-FBy443JAF-YVXiS5Dnxu7cw&s,Mumbai Indians ,Right hand Bat,Right arm Fast medium,Batting Allrounder
Ishan Kishan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTYbcoJuHuXQWROCK4M4rAOP75YIFYJ-poYUwrbNYqu3bN4OTSTCDAOMVePG7g&s,Mumbai Indians ,Left hand Bat,,Wicketkeeper Batter
